,Date,Open,High,Low,Close,Adj Close,Volume,Open_Change,Gain_Loss_Open
205.0,723457,0.12444200000000001,0.125,0.12444200000000001,0.12444200000000001,0.09768500000000001,33465600.0,0.023438,1
206.0,723459,0.140625,0.142299,0.140625,0.140625,0.11038800000000001,25222400.0,0.016183000000000003,1
207.0,723460,0.099888,0.099888,0.09933,0.09933,0.077972,55171200.0,-0.040737,0
208.0,723461,0.112723,0.112723,0.112723,0.112723,0.08848500000000001,0.0,0.012835,1
209.0,723462,0.088728,0.089286,0.088728,0.088728,0.06965,34809600.0,-0.023995,0
210.0,723464,0.08203099999999999,0.082589,0.08203099999999999,0.08203099999999999,0.06439299999999999,16755200.0,-0.006697,0
211.0,723465,0.084263,0.08482100000000001,0.084263,0.084263,0.06614500000000001,37408000.0,0.002232,1
212.0,723466,0.085938,0.08705399999999999,0.085938,0.085938,0.06746,44195200.0,0.001675,1
213.0,723467,0.081473,0.081473,0.080915,0.080915,0.06351699999999999,30979200.0,-0.004465,0
214.0,723468,0.082589,0.083147,0.082589,0.082589,0.064831,29433600.0,0.001116,1
215.0,723469,0.08203099999999999,0.08203099999999999,0.081473,0.081473,0.063955,36467200.0,-0.000558,0
216.0,723472,0.083147,0.083705,0.083147,0.083147,0.06526900000000001,20585600.0,0.001116,1
217.0,723473,0.087612,0.08817,0.087612,0.087612,0.068774,35728000.0,0.004465,1
218.0,723474,0.087612,0.08817,0.087612,0.087612,0.068774,76899200.0,0.0,1
219.0,723475,0.087612,0.087612,0.08705399999999999,0.08705399999999999,0.06833600000000001,32278400.0,0.0,1
220.0,723476,0.085379,0.085379,0.08482100000000001,0.08482100000000001,0.066583,27910400.0,-0.0022329999999999997,0
221.0,723479,0.08482100000000001,0.085379,0.08482100000000001,0.08482100000000001,0.066583,27283200.0,-0.000558,0
222.0,723480,0.086496,0.087612,0.086496,0.086496,0.067898,85590400.0,0.001675,1
223.0,723481,0.089286,0.08984400000000001,0.089286,0.089286,0.070088,44172800.0,0.00279,1
224.0,723482,0.088728,0.088728,0.08817,0.08817,0.069212,30486400.0,-0.000558,0
225.0,723483,0.089286,0.08984400000000001,0.089286,0.089286,0.070088,52729600.0,0.000558,1
226.0,723486,0.11830399999999999,0.11830399999999999,0.117746,0.117746,0.092428,13843200.0,0.029018000000000002,1
227.0,723487,0.09765599999999999,0.09765599999999999,0.09654,0.09654,0.075782,29859200.0,-0.020648,0
228.0,723489,0.122768,0.122768,0.12220999999999999,0.12220999999999999,0.095933,11939200.0,0.025112,1
229.0,723490,0.146763,0.147321,0.146763,0.146763,0.11520599999999999,38976000.0,0.023995,1
230.0,723492,0.110491,0.110491,0.109375,0.109375,0.085857,71456000.0,-0.036272000000000006,0
231.0,723493,0.08817,0.08817,0.087612,0.087612,0.068774,17539200.0,-0.022321,0
